1.274040000000000068e-02 5.849073900724508712e+04 2.016408765272267192e+04
1.772479999999999889e-02 5.939948410831415094e+04 2.279099989956384889e+04
2.269840000000000052e-02 5.760263290871628851e+04 2.318366644342424479e+04
2.773139999999999980e-02 5.423981795802665147e+04 2.222891474292473868e+04
3.268650000000000028e-02 5.015477455909249693e+04 2.064713499809171844e+04
3.763539999999999941e-02 4.582992500918686710e+04 1.881538078669423703e+04
4.256469999999999698e-02 4.153019294010737212e+04 1.692496868713994627e+04
4.760169999999999679e-02 3.746420043736433581e+04 1.511962020910940737e+04
5.263290000000000329e-02 3.378463011609251407e+04 1.348583412294985828e+04
5.759249999999999786e-02 3.052725208422557625e+04 1.204766572050546529e+04
6.257790000000000574e-02 2.772383154512380497e+04 1.081495591107053951e+04
6.756700000000000206e-02 2.531844589845688824e+04 9.758992069432499193e+03
7.257710000000000550e-02 2.328324878578844800e+04 8.862874106730070707e+03
7.756970000000000531e-02 2.154992705190117704e+04 8.092153834457600169e+03
8.254620000000000013e-02 2.004349102919053621e+04 7.412951404859521062e+03
8.753080000000000582e-02 1.869151160702924608e+04 6.798652104900555969e+03
9.255860000000000476e-02 1.745677503695783525e+04 6.239514491356691906e+03
9.755500000000000282e-02 1.631772444973612255e+04 5.732808778003824955e+03
1.025439999999999963e-01 1.526359778029221525e+04 5.276073426656682386e+03
1.075419999999999987e-01 1.429342460950605710e+04 4.867503076978858189e+03
1.125489999999999963e-01 1.341262685151404730e+04 4.506285292122062856e+03
1.175469999999999987e-01 1.261250764365580471e+04 4.183596716176119116e+03
1.225470000000000032e-01 1.188794771066715475e+04 3.892535965501953342e+03
1.275390000000000135e-01 1.123190300747191941e+04 3.627872174621902559e+03
1.325169999999999959e-01 1.063582792132019858e+04 3.384473090978878645e+03
1.375210000000000043e-01 1.008971843320310654e+04 3.157831852044141669e+03
1.425200000000000078e-01 9.592017782982222343e+03 2.949301349740725527e+03
1.475339999999999985e-01 9.133893095133311363e+03 2.757456381802726810e+03
1.525440000000000129e-01 8.709112332259714094e+03 2.580756022201108863e+03
1.575380000000000114e-01 8.316339605871482490e+03 2.417308365791160668e+03
1.625389999999999890e-01 7.952302191333029441e+03 2.264131321653160285e+03
1.675339999999999885e-01 7.612672779719195205e+03 2.118113610184196205e+03
1.725319999999999909e-01 7.296247452463027003e+03 1.979373253707896083e+03
1.775309999999999944e-01 7.002094320295595026e+03 1.848870453850463264e+03
1.825279999999999958e-01 6.727843414031508473e+03 1.726928300565539303e+03
1.875209999999999932e-01 6.471216420098977324e+03 1.613411986040029205e+03
1.925179999999999947e-01 6.231081712552162571e+03 1.507322701665700151e+03
1.975089999999999901e-01 6.005915828981804225e+03 1.407248534357062681e+03
2.025180000000000036e-01 5.794470970959403530e+03 1.311903818528521924e+03
2.075180000000000080e-01 5.594796585474922722e+03 1.219785285522026243e+03
2.125160000000000105e-01 5.405808169939811705e+03 1.130227951430864096e+03
2.175130000000000119e-01 5.227225481474736625e+03 1.043085820583617533e+03
2.225090000000000123e-01 5.058034930809129037e+03 9.578696965915632973e+02
2.275169999999999970e-01 4.897357546912690850e+03 8.741505189214580014e+02
2.325190000000000035e-01 4.744415374421586421e+03 7.916416996602249583e+02
2.375259999999999871e-01 4.598827116460254729e+03 7.104355474090630196e+02
2.425229999999999886e-01 4.460215472767053143e+03 6.306501307943525489e+02
2.475189999999999890e-01 4.328162416664770717e+03 5.523844423837063005e+02
